ex1.v, 1, 1, 1, 1, 1, 0.001, 1, 1, 1, 0, temp_0_0_0, Valid, 0.5148143768310547, 0.1254262636894421, 0.0, 1.0
ex2.v, 1, 1, 1, 2, 1, 0.001, 1, 2, 1, 0, temp_0_0_0, Valid, 0.5670633316040039, 1.5151667508788988, 0.004881407034956986, 1.0
ex3.v, 1, 1, 1, 1, 1, 0.001, 1, 1, 1, 0, temp_0_0_0, Valid, 0.5123236179351807, 0.06316655328916357, 0.0, 1.0
ex4.v, 1, 1, 1, 3, 1, 0.001, 1, 1, 1, 0, temp_0_0_0, Valid, 0.6417531967163086, 0.1227327305921739, 0.003449812418372583, 1.0
ex5.v, 1, 1, 1, 2, 1, 0.001, 1, 1, 1, 0, temp_0_0_0, Valid, 0.540935754776001, 0.6192000891183765, 0.002045005478029549, 1.0
ex6.v, 1, 1, 1, 1, 1, 0.001, 1, 1, 1, 0, temp_0_0_0, Valid, 0.5076522827148438, 0.12325308770274743, 0.0, 1.0
ex7.v, 1, 1, 1, 3, 1, 0.001, 1, 1, 1, 0, temp_0_0_0, Valid, 0.6224472522735596, 1.1118853289119004, 0.010396569972249026, 1.0
ex8.v, 1, 1, 1, 5, 1, 0.001, 1, 1, 1, 0, temp_0_0_0, Valid, 0.7281274795532227, 0.6191020633869787, 0.008254573167098322, 1.0
sample1.v, 1, 1, 1, 6, 1, 0.001, 10, 1, 2, 0, temp_0_0_0; temp_0_1_0, Valid, 0.7626438140869141, 0.8844111474054042, 0.008637396689128662, 2.0
sample2.v, 1, 1, 1, 5, 1, 0.001, 10, 2, 1, 0, temp_0_0_0, Valid, 0.7300934791564941, 0.6013259745381856, 0.013783241821241354, 1.0
sample3.v, 1, 1, 1, 3, 1, 0.001, 10, 3, 1, 0, temp_0_0_0, Valid, 0.617717981338501, 1.4621903947377857, 0.03847779330681411, 1.0
sample4.v, 1, 1, 1, 1, 1, 0.001, 1, 3, 1, 0, (~(~i0 & ~i1 & i2) | zero) & (~(~i0 & i1 & ~i2) | zero) & (~(i0 & ~i1 & ~i2) | zero) & (~(i0 & i1 & i2) | zero) & (~(~(~i0 & ~i1 & i2)  & ~(~i0 & i1 & ~i2)  & ~(i0 & ~i1 & ~i2)  & ~(i0 & i1 & i2) ) | temp_0_0_0), Valid, 0.4947059154510498, 3.529291978728711, 0.0, 0.5
sample5.v, 1, 1, 1, 335, 1, 0.001, 10, 2, 3, 0, temp_0_0_0; temp_0_1_0; temp_0_2_0, Valid, 43.44975209236145, 0.007283292457194229, 1.223380501539121, 3.0
